emotion,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
neutral,0.2719412,0.24630705,0.29112685,0.29648688,0.37204528,0.0,0.3377336,0.077510566,1.0,0.29847774,0.5865873,0.06627808,0.348856,0.0,0.6413964,0.48116276,0.20574978,0.13364056,0.3274447,0.15056263
happy,0.38482648,0.3647767,0.08517214,0.38569114,0.6691288,1.0,0.32500422,0.0052632284,0.0,0.8024989,0.69591856,0.12327005,0.46804398,0.0,0.29742047,0.49893928,0.0033885108,0.045487396,0.124905035,0.30655333
angry,0.29742733,0.2157028,0.9082177,0.32769445,0.28702283,0.0,0.47501084,0.023947585,1.0,0.14858729,0.62747973,0.05475729,0.31895453,0.0,0.37410557,0.22495165,0.88249063,0.31675142,0.13609798,0.20520392
happy,0.3829923,0.39812142,0.41244197,0.3715641,0.29281715,0.0,0.48922095,0.012518061,1.0,0.7067842,0.57877374,0.07337228,0.4849549,0.0,0.34204262,0.29760745,0.027671706,0.047991447,0.11612506,0.6962268
happy,0.27265427,0.26816887,0.36971533,0.3035631,0.35281813,0.0,0.27232516,0.9208374,0.0,0.5560376,0.8592082,0.24908763,0.5169053,0.0,0.51922804,0.57893735,0.07612926,0.12031303,0.42030564,0.120473094
disgust,0.4192141,0.27411097,0.65117186,0.4721177,0.22301105,1.0,0.41113073,0.53875524,0.0,0.24457628,0.20367679,0.10068957,0.3447693,1.0,0.7426037,0.062274437,0.99165386,0.5346178,0.1493649,0.375345
sad,0.4165417,0.31529725,0.5720975,0.31153944,0.15733133,0.0,0.3814166,0.016119171,0.0,0.107438006,0.14777115,0.02540528,0.32718414,0.0,0.32155278,0.40915754,0.07216089,0.32609236,0.07861654,0.31474972
fear,0.4134051,0.32715982,0.30724254,0.32774907,0.114099175,0.0,0.4642611,0.055754866,1.0,0.05343242,0.28677785,0.21608213,0.3862287,0.0,0.7310557,0.382473,0.911141,0.42439297,0.4201646,0.3013433
neutral,0.211355,0.28927928,0.2589787,0.29010624,0.28064194,0.0,0.37730017,0.051464908,0.0,0.07824843,0.13510591,0.0643596,0.5028204,0.0,0.3031967,0.25318116,0.096834585,0.0921948,0.20597434,0.54054195
angry,0.40238613,0.3177201,0.48530537,0.26912975,0.5102985,1.0,0.48221976,0.22556184,1.0,0.71883035,0.5190046,0.4084972,0.2884294,1.0,0.400124,0.029511621,0.99184614,0.70937985,0.20455272,0.4775442
fear,0.26518,0.18531306,0.26504913,0.34843156,0.35485682,0.0,0.40653935,0.0211614,0.0,0.22943917,0.2875347,0.17790425,0.46766686,0.0,0.28382134,0.38899967,0.19675949,0.13274826,0.6845706,0.7535323
